-2640, -272, 17336
-3584, -208, 16544
-4304, -232, 16240
-4768, -752, 16232
-5016, -144, 16224
-6432, -416, 15008
-6584, -320, 15976
-7272, -256, 14824
-8312, -232, 14112
-8712, -304, 14496
-9536, -664, 13848
-9952, -392, 14440
-10576, -176, 13048
-11416, -800, 12200
-11528, -512, 11800
-11936, 48, 11328
-12536, -96, 9704
-13584, -104, 9832
-14352, -856, 8200
-13968, -560, 9288
-14512, -144, 7216
-14720, -232, 7496
-15696, -728, 6552
-15200, -336, 6704
-15512, -592, 5224
-15880, 232, 4760
-16304, -960, 2384
-16176, -112, 3648
-16520, -1160, 1376
-16008, -120, 976
-16720, -792, 328
-16056, -336, 24
-16664, -984, -1440
-16376, -136, -1728
-16168, -872, -3232
-16120, -832, -1608
-15720, -304, -4752
-16040, -56, -5016
-15688, -96, -5920
-15992, -936, -6360
-14848, 312, -7808
-14352, 48, -6888
-14232, -496, -9560
-13384, -184, -7952
-12736, -256, -10312
-12848, -640, -9344
-11304, 680, -11712
-11688, -920, -10976
-11328, -520, -12056
-10800, -1440, -11216
-10200, -432, -13864
-9744, -968, -12272
-8816, -312, -13624
-8704, -1296, -13424
-7600, -296, -15096
-6504, -424, -13984
-5616, -64, -15232
-5328, -808, -14192
-4368, -376, -15776
-3736, -824, -14752
-2504, -480, -15648
-2112, -688, -15952
-1512, -120, -16160
-888, -608, -15424
392, -208, -16776
1352, -16, -14240
1560, -528, -16000
2944, -304, -14888
3288, -184, -16064
3856, -352, -14200
4760, -496, -16184
5608, -784, -13896
6040, -624, -15192
7344, -264, -13808
7384, -520, -14168
8304, -584, -13584
8984, -552, -13640
9624, 176, -12384
9888, -688, -13368
10800, -528, -10824
10888, -640, -12216
12104, -296, -10224
12120, 64, -11160
12936, -464, -8576
13680, -272, -9168
13960, -1128, -7952
13904, -312, -8680
15432, 384, -6880
15016, -408, -7512
15648, 896, -5408
15344, -256, -5568
16280, 56, -3488
15488, -552, -4680
16016, -128, -2768
16200, 424, -1480
16000, -1000, -2008
16296, -96, -464
16184, -720, 960
16104, -904, 1112
15888, 280, 1072
16304, 32, 4112
16144, 616, 2648
16040, -280, 5816
15568, -208, 4424
15272, -512, 6440
15600, -584, 7328
14592, -24, 7424
14440, -688, 7288
14328, -320, 9048
13888, -616, 9208
13320, -584, 9712
12832, -400, 10152
12760, 424, 11320
11776, -608, 11720
11216, 144, 12056
10352, -520, 13024
11000, 88, 13184
9192, -528, 14760
9488, 192, 13256
8336, -456, 15360
8072, 200, 14832
6872, -688, 15824
5952, -296, 14800
6080, 352, 17392
4816, -208, 16392
4104, -512, 15736
3792, 32, 16296
3312, 80, 16744
2560, -184, 16264
1992, -176, 16728
1496, -176, 16752
1112, -16, 17056
384, -496, 17000
376, -144, 16648
272, -464, 16728
216, -248, 17000
-216, -216, 16688
-400, -104, 16568
-360, -240, 16968
-352, -424, 16776
264, -2168, 17544
1824, -11704, 20488
-2224, -19376, 12888
7200, -9856, 9416
-312, -17304, 152
128, -16648, 368
-24, -16640, 416
88, -16808, 296
648, -16648, 488
384, -16952, 440
736, -16824, 408
1120, -16864, 752
1432, -16984, 472
1784, -17656, 864
2256, -16216, 328
2840, -16456, 776
3144, -16480, 432
3736, -16216, 520
4720, -16096, 600
5288, -16208, 864
5824, -15472, 568
6840, -16040, 536
7112, -14488, 600
7832, -14840, -104
8736, -14280, 536
9048, -13688, 544
9144, -13920, 656
10016, -13392, -296
11096, -11736, 400
11376, -12096, 432
12576, -10840, 1016
12464, -11008, 680
13576, -10192, 608
13352, -10392, 1416
13832, -9144, 688
13728, -8448, 200
14280, -7952, 432
15080, -5920, 936
14776, -6496, 664
15760, -4376, 144
15832, -4512, 504
16368, -3480, 384
16616, -2000, 432
16232, -1808, 856
16264, -2496, 984
16768, 200, 928
16176, -480, 424
16544, 1776, 792
16080, 1216, -120
16488, 2808, 736
15704, 2776, 72
16000, 5400, 592
16128, 3944, 656
15544, 6088, -280
16024, 6088, 912
14696, 5736, 560
14432, 7712, 192
14872, 9304, 360
13728, 7504, 344
13136, 9560, -336
12736, 9968, 528
11336, 8320, 552
12016, 10992, 696
10984, 11480, 240
10840, 11600, 520
10024, 12712, 616
9104, 12904, 128
7792, 12376, 16
8056, 14104, 40
7624, 13512, 320
6472, 13928, -160
7296, 16240, 648
5112, 14912, 176
4784, 15824, 576
3808, 16912, -304
3104, 14688, 552
2264, 16280, 112
1616, 16632, -40
816, 15056, -64
-128, 17128, 32
-200, 16928, 192
-1240, 15304, 344
-2176, 16832, -16
-3152, 14808, 112
-3768, 14520, 176
-4464, 16144, 136
-5576, 14096, 32
-6136, 15240, 64
-6776, 15368, 328
-7208, 12992, 216
-8056, 14944, 168
-9200, 12416, -112
-9464, 12344, 240
-10200, 13344, -160
-11664, 11264, -304
-11080, 11256, 40
-11528, 11400, 40
-13000, 8176, -88
-12688, 10584, -8
-13464, 9096, 88
-13920, 8112, -280
-14488, 6976, -216
-14472, 7008, -320
-15088, 5480, 456
-15360, 6680, -120
-15824, 3552, 304
-15976, 4200, 88
-15960, 3464, -128
-15992, 2616, -24
-15872, 3080, 280
-16704, 1112, -40
-16232, 1368, -176
-16232, -152, 632
-16360, -440, -304
-16368, -1992, 544
-16344, -3376, 144
-16392, -3056, -8
-15856, -3752, 544
-15920, -5184, -336
-15280, -6008, 1000
-15352, -5856, -496
-14864, -6352, 760
-14376, -6904, -32
-15152, -8768, 288
-14104, -9352, 80
-13808, -8760, 712
-12848, -9584, 736
-12992, -11576, 16
-11736, -11368, 600
-11800, -10768, -432
-10568, -12600, 1168
-10864, -12192, -944
-9624, -12776, 272
-9448, -12912, 408
-8416, -14296, 584
-7768, -14456, -32
-7032, -15064, 1144
-6616, -14408, -424
-5560, -15312, 648
-5320, -15664, 184
-4248, -16056, 520
-4456, -17128, -120
-3672, -16944, 752
-2760, -15952, 256
-2496, -16648, 744
-2152, -17304, 200
-1456, -16544, 552
-1248, -16560, 400
-976, -16576, 656
-528, -16848, 584
-368, -16880, 528
-192, -16552, 264
-88, -16504, 480
-104, -17080, 512
-72, -17120, 648
-16, -16504, 576
336, -16744, 296
-192, -16528, 400
-112, -16696, 520
-88, -16456, 488